"COUNTRY","Country","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2002-07","Jul-2002","TONNEKM","Tonnes-kilometres","6","Millions",,,30,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2002-08","Aug-2002","TONNEKM","Tonnes-kilometres","6","Millions",,,30,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2002-09","Sep-2002","TONNEKM","Tonnes-kilometres","6","Millions",,,33,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2002-10","Oct-2002","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2002-11","Nov-2002","TONNEKM","Tonnes-kilometres","6","Millions",,,24,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2002-12","Dec-2002","TONNEKM","Tonnes-kilometres","6","Millions",,,82,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-01","Jan-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,28,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-02","Feb-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,26,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-03","Mar-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,29,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-04","Apr-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,31,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-05","May-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-06","Jun-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,33,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-07","Jul-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-08","Aug-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,36,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-09","Sep-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-10","Oct-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,34,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-11","Nov-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2003-12","Dec-2003","TONNEKM","Tonnes-kilometres","6","Millions",,,28,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-01","Jan-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,23,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-02","Feb-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,27,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-03","Mar-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,34,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-04","Apr-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,31,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-05","May-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,33,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-06","Jun-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,30,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-07","Jul-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,31,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-08","Aug-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-09","Sep-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,32,,
"IRL","Ireland","Q-RL-GOOD-NAT","National rail freight transport","2004-10","Oct-2004","TONNEKM","Tonnes-kilometres","6","Millions",,,41,,
