"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1978","1978","PC","Percentage","0","Units",,,3.90252,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1979","1979","PC","Percentage","0","Units",,,2.091862,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1980","1980","PC","Percentage","0","Units",,,0.453459,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1981","1981","PC","Percentage","0","Units",,,-0.823121,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1982","1982","PC","Percentage","0","Units",,,1.075979,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1983","1983","PC","Percentage","0","Units",,,2.960914,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1984","1984","PC","Percentage","0","Units",,,6.099898,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,2.623469,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,9.476275,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,3.277971,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,7.535007,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,8.722184,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,4.134082,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,7.184746,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1992","1992","PC","Percentage","0","Units",,,0.444413,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1993","1993","PC","Percentage","0","Units",,,2.734511,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1994","1994","PC","Percentage","0","Units",,,2.329684,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1995","1995","PC","Percentage","0","Units",,,0.020323,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1996","1996","PC","Percentage","0","Units",,,0.187058,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1997","1997","PC","Percentage","0","Units",,,4.066964,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1998","1998","PC","Percentage","0","Units",,,5.333539,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1999","1999","PC","Percentage","0","Units",,,6.63458,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2000","2000","PC","Percentage","0","Units",,,5.558623,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2001","2001","PC","Percentage","0","Units",,,1.934351,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2002","2002","PC","Percentage","0","Units",,,2.118861,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2003","2003","PC","Percentage","0","Units",,,1.346002,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2004","2004","PC","Percentage","0","Units",,,2.811101,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2005","2005","PC","Percentage","0","Units",,,0.901069,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2006","2006","PC","Percentage","0","Units",,,4.39707,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2007","2007","PC","Percentage","0","Units",,,6.350244,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2008","2008","PC","Percentage","0","Units",,,-2.037497,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2009","2009","PC","Percentage","0","Units",,,-4.985523,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2010","2010","PC","Percentage","0","Units",,,1.855045,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2011","2011","PC","Percentage","0","Units",,,-1.268092,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2012","2012","PC","Percentage","0","Units",,,-0.659454,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2013","2013","PC","Percentage","0","Units",,,0.556194,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2014","2014","PC","Percentage","0","Units",,,0.233617,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2015","2015","PC","Percentage","0","Units",,,0.280607,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2016","2016","PC","Percentage","0","Units",,,2.331832,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2017","2017","PC","Percentage","0","Units",,,-0.86385,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2018","2018","PC","Percentage","0","Units",,,-0.747519,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2019","2019","PC","Percentage","0","Units",,,0.813814,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2020","2020","PC","Percentage","0","Units",,,-2.415288,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2021","2021","PC","Percentage","0","Units",,,5.504966,,
"LUX","Luxembourg","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","2022","2022","PC","Percentage","0","Units",,,-0.822477,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1971","1971","PC","Percentage","0","Units",,,3.669494,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1972","1972","PC","Percentage","0","Units",,,6.953467,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1973","1973","PC","Percentage","0","Units",,,5.566919,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1974","1974","PC","Percentage","0","Units",,,-2.570212,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1975","1975","PC","Percentage","0","Units",,,1.834362,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1976","1976","PC","Percentage","0","Units",,,2.822473,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1977","1977","PC","Percentage","0","Units",,,3.372835,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1978","1978","PC","Percentage","0","Units",,,4.319254,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1979","1979","PC","Percentage","0","Units",,,4.610166,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1980","1980","PC","Percentage","0","Units",,,2.007727,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1981","1981","PC","Percentage","0","Units",,,3.516045,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1982","1982","PC","Percentage","0","Units",,,2.561217,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1983","1983","PC","Percentage","0","Units",,,2.929713,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1984","1984","PC","Percentage","0","Units",,,3.743477,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1985","1985","PC","Percentage","0","Units",,,4.513467,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1986","1986","PC","Percentage","0","Units",,,2.775285,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1987","1987","PC","Percentage","0","Units",,,4.153179,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1988","1988","PC","Percentage","0","Units",,,6.221938,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1989","1989","PC","Percentage","0","Units",,,4.534033,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1990","1990","PC","Percentage","0","Units",,,4.496579,,
"JPN","Japan","T_GDPPOP_V","GDP per capita, constant prices","GRW","Annual growth/change","1991","1991","PC","Percentage","0","Units",,,3.114606,,
