"COUNTRY","Country","VARIABLE","Variable","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-04","Apr-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,913,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-05","May-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,733,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-06","Jun-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,482,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-07","Jul-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,603,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-08","Aug-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,806,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-09","Sep-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,873,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-10","Oct-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,898,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-11","Nov-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,864,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2005-12","Dec-2005","TONNEKM","Tonnes-kilometres","6","Millions",,,862,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-01","Jan-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,895,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-02","Feb-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,849,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-03","Mar-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,996,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-04","Apr-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,902,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-05","May-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,934,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-06","Jun-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,922,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-07","Jul-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,894,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-08","Aug-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,914,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-09","Sep-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,914,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-10","Oct-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,1004,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-11","Nov-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,944,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2006-12","Dec-2006","TONNEKM","Tonnes-kilometres","6","Millions",,,892,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-01","Jan-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,889,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-02","Feb-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,842,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-03","Mar-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,952,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-04","Apr-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,887,,
"FIN","Finland","Q-RL-GOOD-TOT","Total rail freight transport","2007-05","May-2007","TONNEKM","Tonnes-kilometres","6","Millions",,,887,,
